credentialset_id,prediction_date,n_updates_30d,mean_time_30d,max_time_30d,min_time_30d,n_updates_60d,mean_time_60d,max_time_60d,min_time_60d,n_updates_90d,mean_time_90d,max_time_90d,min_time_90d,n_updates_120d,mean_time_120d,max_time_120d,min_time_120d,provider_n_updates,provider_n_updates_weekday,n_updates_weekday,n_successful_crawls,n_unsuccessful_crawls,is_last_crawl_succed,n_days_since_last_crawl,target
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-02,0.2608695652173913,4.2,8,2,0.3018867924528302,3.0,8,1,0.25301204819277107,3.75,12,1,0.22123893805309736,4.208333333333333,14,1,0.34965277777777776,0.45913461538461536,0.7307692307692307,3.0,3.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-03,0.21739130434782608,4.75,8,3,0.3018867924528302,3.0,8,1,0.25301204819277107,3.75,12,1,0.22123893805309736,4.208333333333333,14,1,0.34965277777777776,0.0,0.0,3.0,4.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-04,0.21739130434782608,4.75,8,3,0.3018867924528302,3.0,8,1,0.25301204819277107,3.75,12,1,0.22123893805309736,4.208333333333333,14,1,0.34965277777777776,0.31490384615384615,0.11538461538461539,2.0,5.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-05,0.17391304347826086,5.333333333333333,8,3,0.3018867924528302,3.0,8,1,0.25301204819277107,3.75,12,1,0.22123893805309736,4.208333333333333,14,1,0.34965277777777776,0.375,0.5769230769230769,2.0,5.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-06,0.17391304347826086,5.333333333333333,8,3,0.3018867924528302,3.0,8,1,0.25301204819277107,3.75,12,1,0.22123893805309736,4.208333333333333,14,1,0.34965277777777776,0.4725,0.56,2.0,5.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-07,0.21739130434782608,5.5,8,3,0.32075471698113206,3.1875,8,1,0.26506024096385544,3.857142857142857,12,1,0.23008849557522124,4.28,14,1,0.34965277777777776,0.4275,0.56,1.0,6.0,0.0,1.0,1.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-08,0.21739130434782608,5.0,8,1,0.33962264150943394,3.0588235294117645,8,1,0.27710843373493976,3.727272727272727,12,1,0.23893805309734514,4.153846153846154,14,1,0.34965277777777776,0.40625,0.5769230769230769,1.0,6.0,1.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-09,0.21739130434782608,5.0,8,1,0.32075471698113206,3.125,8,1,0.26506024096385544,3.8095238095238093,12,1,0.23893805309734514,4.153846153846154,14,1,0.34965277777777776,0.45913461538461536,0.7307692307692307,1.0,6.0,0.0,1.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-10,0.21739130434782608,5.0,8,1,0.32075471698113206,3.125,8,1,0.26506024096385544,3.8095238095238093,12,1,0.23893805309734514,4.153846153846154,14,1,0.34965277777777776,0.0,0.0,1.0,5.0,0.0,2.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-11,0.17391304347826086,4.0,6,1,0.3018867924528302,3.2,8,1,0.25301204819277107,3.4,12,1,0.23893805309734514,4.153846153846154,14,1,0.34965277777777776,0.31490384615384615,0.11538461538461539,1.0,4.0,0.0,3.0,0.0
0000349e-0a0f-3373-a4f1-05bce8b528b3,2023-06-12,0.17391304347826086,4.0,6,1,0.3018867924528302,3.2,8,1,0.25301204819277107,3.4,12,1,0.23893805309734514,4.153846153846154,14,1,0.34965277777777776,0.375,0.5769230769230769,1.0,4.0,0.0,1.0,0.0
